name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,RESOLUTION,CHM,CHD,IRN,IFN,OPN,CMQ,SMQ,SERVICES
768330962/poet_ready_system,57,14,1629,8,5, HTML,0,3,768330962,poet_ready_system,0.3,0.780889286152444,0.3425824962262209,127.0,1.0,100.0,0.8277784486575694,0.1418269230769231,14.0
EUSurvey/EUSURVEY,294,46,119095,8,2, Java,5,11,EUSurvey,EUSURVEY,0.4,0.5732300454687572,0.8247103305208922,10742.0,2.125,460.0,0.2286536171762764,0.032852113025623686,23.0
suyeq/steamMall,120,13,6524,8,2, CSS,2,2,suyeq,steamMall,0.3,0.7215192702034807,0.6314998441408216,423.0,1.0909090909090908,107.0,0.5223720485424086,0.24709687355440935,20.0
zlren/noah-health,86,12,320,8,6, Java,3,0,zlren,noah-health,0.3,0.7250280583613917,0.9456489020973148,640.0,1.2222222222222223,68.0,0.4089795918367347,-0.07377078609221482,15.0
Prasad108/TutesMessanger,109,20,6700,8,3, JavaScript,8,18,Prasad108,TutesMessanger,0.3,0.6448316692268306,0.5543094059607117,387.0,1.0,83.0,0.6721729763004001,0.18161753341687556,20.0
busing/circle_web,268,19,30032,8,3, Java,1,0,busing,circle_web,0.4,0.532805165848644,0.6085700893309589,1091.0,1.6363636363636365,100.0,0.5253588657586807,0.1716818651627802,28.0
UDA-EJIE/udaLib,320,13,13194,7,2, Java,17,3,UDA-EJIE,udaLib,0.4,0.5,1.0,214.0,2.0,2.0,0.3429417972841432,0.19762296900114454,23.0
bbaibb1009/wxcrm,95,15,25903,7,10, Java,4,1,bbaibb1009,wxcrm,0.4,0.5911820909048511,0.8341733841043152,380.0,1.0769230769230769,136.0,0.5870535714285713,0.2004930555555556,16.0
khasang/delivery,218,11,7443,6,6, Java,8,5,khasang,delivery,0.3,0.7799206349206349,0.7414862914862915,9.0,1.0,67.0,0.6783598185489772,0.18279605203894686,22.0
TexnologiaLogismikou/Fiz,199,18,1160,6,0, Java,5,3,TexnologiaLogismikou,Fiz,0.4,0.5056818181818182,0.4313492063492064,484.0,1.3333333333333333,35.0,0.5799314574314575,0.17190950748986467,16.0
uq-eresearch/oztrack,213,57,9227,6,7, Java,3,43,uq-eresearch,oztrack,0.4,0.6158784189666542,0.5498319694341519,543.0,2.8,159.0,0.4278750535670428,0.19821362903164927,18.0
wang007/live-server,238,23,6130,6,5, JavaScript,4,0,wang007,live-server,0.3,0.5107396501110566,0.4003034453056567,257.0,1.3571428571428572,128.0,0.4953775853775854,0.16944491542831744,21.0
zxwgdft/paladin-boot,328,17,97803,6,0, JavaScript,1,0,zxwgdft,paladin-boot,0.4,0.6371597152847153,0.1937590187590188,353.0,1.0,75.0,0.27876149422528745,0.11283814694068595,22.0
shenshaoming/byte_easy,55,12,13225,5,4, JavaScript,1,0,shenshaoming,byte_easy,0.3,0.2917207792207792,0.5333152958152958,103.0,1.1666666666666667,45.0,0.5095332018408941,0.14898504273504273,13.0
nimble-platform/business-process-service,222,47,2798,5,3, Java,5,16,nimble-platform,business-process-service,0.4,0.5006328010072987,0.6224526617101256,761.0,1.7857142857142858,127.0,0.3579292994917995,0.18301408343248626,16.0
codemky/uni,615,89,1444,5,0, Java,2,2,codemky,uni,0.4,0.29708464271578416,0.5156075241943904,3059.0,1.6521739130434785,430.0,0.2684483129218715,0.14098619144442412,58.0
ushahidi/SwiftRiver-API,249,21,1464,5,5, Java,16,18,ushahidi,SwiftRiver-API,0.3,0.3187522642476203,0.579451378228468,917.0,1.4,108.0,0.28544761572880656,0.17101128454161296,24.0
softservedata/lv257,171,18,35610,5,4, Java,5,2,softservedata,lv257,0.3,0.36559800907627,0.2932112271786185,223.0,1.5555555555555556,82.0,0.4675273184139966,0.1833685683869508,17.0
joubin/CSC191,32,15,14119,5,1, Java,6,5,joubin,CSC191,0.5,0.4261111111111111,0.6356676003734828,78.0,1.2,42.0,0.6818594104308391,0.1309523809523809,7.0
aramsoft/aramcomp,345,72,21307,5,5, Java,1,1,aramsoft,aramcomp,0.3,0.5822505391207121,0.9213107468877808,814.0,1.5,453.0,0.42355356095674507,0.27346892831854325,43.0
bao17634/Warehouse-system,76,13,1787,5,1, JavaScript,1,1,bao17634,Warehouse-system,0.3,0.6066191384373203,0.7541874095120851,217.0,1.0,76.0,0.3907626561472716,0.2831143162393163,13.0
shigenwang/membership,153,18,60199,5,7, Java,1,0,shigenwang,membership,0.3,0.6688850501350502,0.7781414187664186,263.0,1.1666666666666667,100.0,0.2595527971114577,0.17853389694527466,20.0
SafeExamBrowser/seb-server,680,46,8979,5,3, Java,3,0,SafeExamBrowser,seb-server,0.3,0.20015163090029395,0.2695181157862594,3011.0,2.0,160.0,0.2442102023125158,0.10071797487396038,27.0
