name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo
I-TECH-UW/OpenELIS-Global-2,1501,127,104991,1,15, Java,11,0,I-TECH-UW,OpenELIS-Global-2
jqxin2006/threadfixRack,405,51,27424,1,0, Java,3,1,jqxin2006,threadfixRack
DiganmeGiovanni/SAPITO,81,11,5158,1,4, Java,23,0,DiganmeGiovanni,SAPITO
bingo1118/zdst_service,682,187,82422,1,1, Java,0,0,bingo1118,zdst_service
vipliliping/yiliBigDataService,362,34,794,1,0, Java,1,0,vipliliping,yiliBigDataService
wenhaofan/RuoYi-qiqiim,288,35,3720,1,1, JavaScript,0,2,wenhaofan,RuoYi-qiqiim
fengfeng521521/face,48,13,44300,1,0, JavaScript,1,0,fengfeng521521,face
guoshijiang/biwork_service,191,19,372,1,1, Java,1,0,guoshijiang,biwork_service
wxwdxn/aiwuliu,464,89,65384,1,0, Java,1,0,wxwdxn,aiwuliu
zhuosikeji/charity-foundation,642,109,201102,1,0, Java,0,0,zhuosikeji,charity-foundation
